id,gender,age,FD1,SD2,UP3,FW4,FD5,SD6,UP7,FW8,FD9,SD10,UP11,FW12,FD13,SD14,UP15,FW16,FD17,SD18,UP19,UP20,FW21,SD22,FW23,SD24,UP25,FW26,UP27,FW,SD,FD,UN,FAC1_1,FAC2_1,FAC3_1,FAC4_1
663,1,18,3,4,3,2,1,1,2,3,2,2,4,5,2,4,3,2,3,3,3,3,2,4,2,4,3,4,3,2.857142857,3.142857143,2.2,3,0.419179757,-0.702610252,-0.123571531,0.69368089
664,1,21,3,5,5,2,1,1,5,5,1,3,3,2,1,1,3,4,2,4,3,4,2,1,3,3,2,3,5,3,2.571428571,1.6,3.75,-0.456958093,-0.74917341,-0.582640266,0.250732888
665,1,24,3,4,2,4,1,4,5,4,3,2,2,3,2,2,3,3,3,2,1,3,4,3,1,4,3,2,5,3,3,2.4,3,0.200355611,-0.310277443,0.607612733,0.193154589
666,1,22,4,4,3,2,3,4,5,4,3,3,4,3,4,4,4,3,3,4,4,2,4,3,4,4,3,3,4,3.285714286,3.714285714,3.4,3.625,1.766614181,0.478386764,-0.764647728,1.112540253
667,1,20,2,2,3,2,2,2,4,2,1,1,2,2,2,4,3,3,2,3,3,4,3,4,3,4,3,3,4,2.571428571,2.857142857,1.8,3.25,-0.444384632,-0.901767356,-0.37472391,0.178499928
668,1,20,3,2,3,2,3,2,4,3,2,2,4,4,4,4,3,2,2,3,4,5,3,2,3,5,3,3,4,2.857142857,2.857142857,2.8,3.75,1.060926258,-0.610625719,-1.211916933,0.056034082
669,1,20,4,2,5,2,3,2,5,4,3,2,3,3,2,3,3,2,2,4,4,3,3,2,2,3,3,2,4,2.571428571,2.571428571,2.8,3.75,0.99891989,-0.940755359,-0.9191929,-0.468276127
670,1,23,2,3,4,2,2,3,4,3,3,3,4,3,3,4,4,2,4,3,3,4,3,4,2,3,3,2,4,2.428571429,3.285714286,2.8,3.75,1.05431364,-0.962581276,-0.866602802,0.605019985
672,1,19,2,3,3,3,1,3,4,5,1,1,4,5,3,3,4,4,1,3,2,4,4,4,4,4,1,3,2,4,3,1.6,3,-0.339286253,1.337378874,0.214708662,0.313515542
673,1,25,2,3,2,2,1,1,2,2,2,2,2,4,1,2,2,2,2,2,2,3,2,1,2,2,2,2,3,2.285714286,1.857142857,1.6,2.25,-0.201348734,-1.658516748,1.476635228,-1.474973202
